symbol,fundingRate,openInterest,markPrice,oraclePrice,source,has_interest_component,interest_rate_per_interval
OM,1.25e-05,32074619.6,0.07528,0.07528,hyperliquid,False,0.0
KAITO,-0.0002302716,9829202.0,0.52026,0.5218,hyperliquid,False,0.0
NIL,1.25e-05,11319414.0,0.075179,0.0751,hyperliquid,False,0.0
PAXG,1.25e-05,18182.048,4616.5,4617.6,hyperliquid,False,0.0
PROMPT,1.33135e-05,46662362.0,0.064522,0.064458,hyperliquid,False,0.0
BABY,-4.2766e-06,18298264.0,0.018674,0.018695,hyperliquid,False,0.0
WCT,1.25e-05,6352250.0,0.08048,0.08057,hyperliquid,False,0.0
HYPER,-3.1519e-06,3084642.0,0.13354,0.1337,hyperliquid,False,0.0
ZORA,9.1445e-06,49280282.0,0.035575,0.035607,hyperliquid,False,0.0
INIT,1.25e-05,16339452.0,0.092964,0.092992,hyperliquid,False,0.0
DOOD,1.25e-05,78758890.0,0.005295,0.005301,hyperliquid,False,0.0
LAUNCHCOIN,0.0,0.0,0.060367,0.06012,hyperliquid,False,0.0
NXPC,1.25e-05,1071976.0,0.38607,0.38635,hyperliquid,False,0.0
SOPH,1.25e-05,28983520.0,0.013365,0.01337,hyperliquid,False,0.0
RESOLV,1.25e-05,64113396.0,0.077117,0.077168,hyperliquid,False,0.0
SYRUP,-6.13223e-05,5963520.0,0.35804,0.3585,hyperliquid,False,0.0
PUMP,1.25e-05,24272218500.0,0.002796,0.002798,hyperliquid,False,0.0
PROVE,1.25e-05,1858318.0,0.40588,0.4063,hyperliquid,False,0.0
YZY,1.25e-05,1609144.0,0.3413,0.3419,hyperliquid,False,0.0
XPL,1.25e-05,307046028.0,0.13834,0.13835,hyperliquid,False,0.0
WLFI,-6.0719e-06,134394260.0,0.16701,0.16715,hyperliquid,False,0.0
LINEA,9.6861e-06,228045174.0,0.00633,0.006337,hyperliquid,False,0.0
SKY,-5.38715e-05,19500148.0,0.063535,0.06363,hyperliquid,False,0.0
