symbol,fundingRate,fundingRateTimestamp,fundingTime,source,type,has_interest,interest_per_interval
ETHUSDT,3.719e-05,1763942400000,2025-11-24 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.275e-05,1763971200000,2025-11-24 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.9e-05,1764000000000,2025-11-24 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1764028800000,2025-11-25 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.98e-06,1764057600000,2025-11-25 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.602e-05,1764086400000,2025-11-25 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.887e-05,1764115200000,2025-11-26 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.484e-05,1764144000000,2025-11-26 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.405e-05,1764172800000,2025-11-26 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.446e-05,1764201600000,2025-11-27 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.869e-05,1764230400000,2025-11-27 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.334e-05,1764259200000,2025-11-27 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.447e-05,1764288000000,2025-11-28 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.353e-05,1764316800000,2025-11-28 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.45e-06,1764345600000,2025-11-28 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-5.012e-05,1764374400000,2025-11-29 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-5.295e-05,1764403200000,2025-11-29 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.13e-06,1764432000000,2025-11-29 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.188e-05,1764460800000,2025-11-30 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.893e-05,1764489600000,2025-11-30 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.324e-05,1764518400000,2025-11-30 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.8e-07,1764547200000,2025-12-01 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.65e-06,1764576000000,2025-12-01 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.701e-05,1764604800000,2025-12-01 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.131e-05,1764633600000,2025-12-02 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.34e-05,1764662400000,2025-12-02 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.708e-05,1764691200000,2025-12-02 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.16e-05,1764720000000,2025-12-03 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.118e-05,1764748800000,2025-12-03 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1764777600000,2025-12-03 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.345e-05,1764806400000,2025-12-04 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.236e-05,1764835200000,2025-12-04 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.94e-06,1764864000000,2025-12-04 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.18e-06,1764892800000,2025-12-05 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.247e-05,1764921600000,2025-12-05 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.6e-06,1764950400000,2025-12-05 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.433e-05,1764979200000,2025-12-06 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.138e-05,1765008000000,2025-12-06 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.967e-05,1765036800000,2025-12-06 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.71e-06,1765065600000,2025-12-07 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.12e-06,1765094400000,2025-12-07 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.197e-05,1765123200000,2025-12-07 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.588e-05,1765152000000,2025-12-08 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.871e-05,1765180800000,2025-12-08 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.471e-05,1765209600000,2025-12-08 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.612e-05,1765238400000,2025-12-09 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.782e-05,1765267200000,2025-12-09 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.867e-05,1765296000000,2025-12-09 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.51e-06,1765324800000,2025-12-10 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.268e-05,1765353600000,2025-12-10 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.899e-05,1765382400000,2025-12-10 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.388e-05,1765411200000,2025-12-11 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-9.614e-05,1765440000000,2025-12-11 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.132e-05,1765468800000,2025-12-11 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.302e-05,1765497600000,2025-12-12 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.649e-05,1765526400000,2025-12-12 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-5.72e-06,1765555200000,2025-12-12 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.461e-05,1765584000000,2025-12-13 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.959e-05,1765612800000,2025-12-13 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.948e-05,1765641600000,2025-12-13 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.39e-06,1765670400000,2025-12-14 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.492e-05,1765699200000,2025-12-14 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.697e-05,1765728000000,2025-12-14 16:00:00,bybit,CEX,True,0.0001
