symbol,fundingRate,fundingRateTimestamp,fundingTime,source,type,has_interest,interest_per_interval
BTCUSDT,3.39e-05,1763769600000,2025-11-22 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,2.259e-05,1763798400000,2025-11-22 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,6.123e-05,1763827200000,2025-11-22 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,4.974e-05,1763856000000,2025-11-23 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,4.368e-05,1763884800000,2025-11-23 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,9.31e-06,1763913600000,2025-11-23 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,-1.427e-05,1763942400000,2025-11-24 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,-3.212e-05,1763971200000,2025-11-24 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,-1.6e-07,1764000000000,2025-11-24 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,-6.725e-05,1764028800000,2025-11-25 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,-4.14e-06,1764057600000,2025-11-25 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,-4.901e-05,1764086400000,2025-11-25 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,-9.27e-06,1764115200000,2025-11-26 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,-2.68e-06,1764144000000,2025-11-26 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,1.62e-06,1764172800000,2025-11-26 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,3.41e-05,1764201600000,2025-11-27 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,-3.03e-06,1764230400000,2025-11-27 08:00:00,bybit,CEX,True,0.0001
BTCUSDT,-8.01e-06,1764259200000,2025-11-27 16:00:00,bybit,CEX,True,0.0001
BTCUSDT,1.7e-06,1764288000000,2025-11-28 00:00:00,bybit,CEX,True,0.0001
BTCUSDT,-3.78e-06,1764316800000,2025-11-28 08:00:00,bybit,CEX,True,0.0001
