symbol,fundingTime,fundingRate,markPrice,source,has_interest_component,interest_rate_per_interval
ETHUSDT,2026-01-01 16:00:00.001,-5.6e-06,2988.45,binance,True,0.0001
ETHUSDT,2026-01-02 00:00:00.006,5.053e-05,3002.5,binance,True,0.0001
ETHUSDT,2026-01-02 08:00:00.007,3.09e-05,3016.99,binance,True,0.0001
ETHUSDT,2026-01-02 16:00:00.000,0.0001,3085.09,binance,True,0.0001
ETHUSDT,2026-01-03 00:00:00.001,5.187e-05,3123.89,binance,True,0.0001
ETHUSDT,2026-01-03 08:00:00.000,3.421e-05,3089.51,binance,True,0.0001
ETHUSDT,2026-01-03 16:00:00.000,3.231e-05,3099.91,binance,True,0.0001
ETHUSDT,2026-01-04 00:00:00.000,7.598e-05,3125.59455039,binance,True,0.0001
ETHUSDT,2026-01-04 08:00:00.000,2.12e-06,3139.60639535,binance,True,0.0001
ETHUSDT,2026-01-04 16:00:00.001,7.231e-05,3134.42257364,binance,True,0.0001
ETHUSDT,2026-01-05 00:00:00.000,7.926e-05,3143.75382171,binance,True,0.0001
ETHUSDT,2026-01-05 08:00:00.000,9.66e-06,3156.17,binance,True,0.0001
ETHUSDT,2026-01-05 16:00:00.000,5.085e-05,3195.50585806,binance,True,0.0001
ETHUSDT,2026-01-06 00:00:00.010,8.035e-05,3223.72,binance,True,0.0001
ETHUSDT,2026-01-06 08:00:00.000,6.876e-05,3218.05831783,binance,True,0.0001
ETHUSDT,2026-01-06 16:00:00.000,4.25e-05,3270.74,binance,True,0.0001
ETHUSDT,2026-01-07 00:00:00.001,7.658e-05,3295.45,binance,True,0.0001
ETHUSDT,2026-01-07 08:00:00.001,7.268e-05,3254.0,binance,True,0.0001
ETHUSDT,2026-01-07 16:00:00.001,3.902e-05,3163.52,binance,True,0.0001
ETHUSDT,2026-01-08 00:00:00.001,7.044e-05,3167.31,binance,True,0.0001
ETHUSDT,2026-01-08 08:00:00.000,7.658e-05,3126.43916279,binance,True,0.0001
ETHUSDT,2026-01-08 16:00:00.000,4.9e-07,3103.45,binance,True,0.0001
ETHUSDT,2026-01-09 00:00:00.003,6.634e-05,3105.14,binance,True,0.0001
ETHUSDT,2026-01-09 08:00:00.000,3.789e-05,3109.75,binance,True,0.0001
ETHUSDT,2026-01-09 16:00:00.001,5.562e-05,3111.39,binance,True,0.0001
ETHUSDT,2026-01-10 00:00:00.000,8.959e-05,3087.15,binance,True,0.0001
ETHUSDT,2026-01-10 08:00:00.002,0.0001,3091.5,binance,True,0.0001
ETHUSDT,2026-01-10 16:00:00.001,5.277e-05,3094.12,binance,True,0.0001
ETHUSDT,2026-01-11 00:00:00.003,9.824e-05,3085.47162016,binance,True,0.0001
ETHUSDT,2026-01-11 08:00:00.006,6.573e-05,3094.03,binance,True,0.0001
ETHUSDT,2026-01-11 16:00:00.000,5.876e-05,3117.21564341,binance,True,0.0001
ETHUSDT,2026-01-12 00:00:00.005,0.0001,3122.46500775,binance,True,0.0001
ETHUSDT,2026-01-12 08:00:00.000,3.472e-05,3133.95,binance,True,0.0001
ETHUSDT,2026-01-12 16:00:00.000,6.663e-05,3128.99,binance,True,0.0001
ETHUSDT,2026-01-13 00:00:00.007,4.704e-05,3093.98831783,binance,True,0.0001
ETHUSDT,2026-01-13 08:00:00.009,9.164e-05,3121.08,binance,True,0.0001
ETHUSDT,2026-01-13 16:00:00.002,2.672e-05,3183.1,binance,True,0.0001
ETHUSDT,2026-01-14 00:00:00.000,0.0001,3324.69,binance,True,0.0001
ETHUSDT,2026-01-14 08:00:00.001,0.0001,3334.88,binance,True,0.0001
ETHUSDT,2026-01-14 16:00:00.004,8.331e-05,3344.2,binance,True,0.0001
ETHUSDT,2026-01-15 00:00:00.000,5.358e-05,3353.28,binance,True,0.0001
ETHUSDT,2026-01-15 08:00:00.004,6.58e-06,3328.64,binance,True,0.0001
ETHUSDT,2026-01-15 16:00:00.002,9.722e-05,3330.13646124,binance,True,0.0001
ETHUSDT,2026-01-16 00:00:00.000,3.284e-05,3317.02828682,binance,True,0.0001
ETHUSDT,2026-01-16 08:00:00.000,3.558e-05,3308.16,binance,True,0.0001
ETHUSDT,2026-01-16 16:00:00.001,2.767e-05,3263.05,binance,True,0.0001
ETHUSDT,2026-01-17 00:00:00.000,8.371e-05,3294.69,binance,True,0.0001
ETHUSDT,2026-01-17 08:00:00.000,8.079e-05,3290.17573643,binance,True,0.0001
ETHUSDT,2026-01-17 16:00:00.002,6.017e-05,3328.13,binance,True,0.0001
ETHUSDT,2026-01-18 00:00:00.001,3.761e-05,3308.91089147,binance,True,0.0001
