symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time,source,has_interest_component
PENDLEUSDT,2.0849,2.08720134,2.09114924,3.517e-05,0.0001,1768723200000,1768710732001,binance,True
OPUSDT,0.3403,0.34031923,0.34088564,4.693e-05,0.0001,1768723200000,1768710732001,binance,True
SKATEUSDT,0.0050732,0.00500301,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
VINEUSDT,0.02861,0.02860357,0.02866021,5e-05,0.0001,1768723200000,1768710732001,binance,True
CELOUSDT,0.14044771,0.14074062,0.14081091,0.0001,0.0001,1768723200000,1768710732001,binance,True
SXPUSDT,0.0676042,0.06756464,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
BABYUSDT,0.01867089,0.01870679,0.01871874,5e-05,0.0001,1768723200000,1768710732001,binance,True
BDXNUSDT,0.01786,0.0177625,0.01772961,5.019e-05,0.0001,1768723200000,1768710732001,binance,True
ANKRUSDT,0.00716082,0.00716776,0.00718582,0.0001,0.0001,1768723200000,1768710732001,binance,True
XRPUSDT,2.0519,2.0531633,2.05473517,3.352e-05,0.0001,1768723200000,1768710732001,binance,True
TAUSDT,0.036618,0.03644024,0.03645852,5e-05,0.0001,1768723200000,1768710732001,binance,True
SNTUSDT,0.02531,0.02531,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
1000XUSDT,0.020844,0.020844,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
SYRUPUSDT,0.35809617,0.35868345,0.35902761,-0.00015376,0.0001,1768723200000,1768710732001,binance,True
PENGUUSDC,0.011658,0.01167428,0.01169576,-0.0001157,0.0001,1768723200000,1768710732001,binance,True
MATICUSDT,0.19800429,0.198,0.19800000,0.0001,0.0001,1768723200000,1768710732001,binance,True
AVAAIUSDT,0.01084372,0.01083662,0.01083980,5e-05,0.0001,1768723200000,1768710732001,binance,True
SPKUSDT,0.02285,0.02291884,0.02291287,5e-05,0.0001,1768723200000,1768710732001,binance,True
BNBUSDC,948.58443715,948.11443481,948.85365692,6.104e-05,0.0,1768723200000,1768710732001,binance,True
ENAUSDT,0.21731287,0.2175618,0.21789813,3.455e-05,0.0001,1768723200000,1768710732001,binance,True
MIRAUSDT,0.1357,0.1358963,0.13625480,5e-05,0.0001,1768723200000,1768710732001,binance,True
SCRTUSDT,0.13114697,0.13168448,0.13069225,-0.00018946,0.0001,1768723200000,1768710732001,binance,True
ARIAUSDT,0.09057912,0.09038154,0.09026428,5e-05,0.0001,1768723200000,1768710732001,binance,True
PLANCKUSDT,0.27147417,0.2714683,0.27146830,5e-05,0.0001,1768723200000,1768710732001,binance,True
JCTUSDT,0.00222796,0.00222085,0.00221316,0.00053581,0.0001,1768723200000,1768710732001,binance,True
1000BONKUSDT,0.010327,0.0103365,0.01034706,-0.00010718,0.0001,1768723200000,1768710732001,binance,True
COOKIEUSDT,0.0351,0.03510188,0.03537628,5e-05,0.0001,1768723200000,1768710732001,binance,True
BTCUSDT_260327,95875.77223333,95092.27325,95140.12123019,0.0,0.0,0,1768710732001,binance,True
BOMEUSDT,0.0006542,0.0006555,0.00065547,-3.373e-05,0.0001,1768723200000,1768710732001,binance,True
SENTUSDT,0.0322985,0.0322985,0.00000000,5e-05,0.0001,1768723200000,1768710732001,binance,True
TRUTHUSDT,0.011622,0.01159052,0.01159715,5e-05,0.0001,1768723200000,1768710732001,binance,True
1000000BOBUSDT,0.01908575,0.01908472,0.01909400,5e-05,0.0001,1768723200000,1768710732001,binance,True
BANANAUSDT,7.254,7.26778803,7.26301759,4.145e-05,0.0001,1768723200000,1768710732001,binance,True
NFPUSDT,0.02782051,0.02782957,0.02787152,5e-05,0.0001,1768723200000,1768710732001,binance,True
HOLOUSDT,0.07623123,0.07622793,0.07680973,5e-05,0.0001,1768723200000,1768710732001,binance,True
LPTUSDT,3.25208919,3.25775405,3.26342467,-6.155e-05,0.0001,1768723200000,1768710732001,binance,True
BNTUSDT,0.437,0.43752812,0.43765483,-0.00049571,0.0001,1768723200000,1768710732001,binance,True
YGGUSDT,0.07300155,0.07310794,0.07317354,5e-05,0.0001,1768723200000,1768710732001,binance,True
STRKUSDT,0.0834,0.08342765,0.08353452,7.5e-07,0.0001,1768723200000,1768710732001,binance,True
RIFUSDT,0.03684,0.036892,0.03690022,5e-05,0.0001,1768723200000,1768710732001,binance,True
YALAUSDT,0.01807,0.01801297,0.01801157,5e-05,0.0001,1768723200000,1768710732001,binance,True
BALUSDT,1.25343333,1.25343333,0.00000000,0.0,0.0,0,1768710732001,binance,True
GIGGLEUSDT,62.18659146,62.14379061,62.33622663,5e-05,0.0001,1768723200000,1768710732001,binance,True
TRADOORUSDT,1.083,1.08053484,1.09189835,0.00020318,0.0001,1768723200000,1768710732001,binance,True
SHELLUSDT,0.0502,0.05028878,0.05052364,5e-05,0.0001,1768723200000,1768710732001,binance,True
MINAUSDT,0.08680303,0.08698289,0.08697694,-0.00017324,0.0001,1768723200000,1768710732001,binance,True
BTCSTUSDT,0.91911989,0.9191,0.91910000,0.0001,0.0001,1768723200000,1768710732001,binance,True
DIAUSDT,0.29227057,0.29259917,0.29286852,5e-05,0.0001,1768723200000,1768710732001,binance,True
ZILUSDT,0.00575,0.00575171,0.00575958,0.0001,0.0001,1768723200000,1768710732001,binance,True
MAGICUSDT,0.1029,0.10306727,0.10324534,-4.284e-05,0.0001,1768723200000,1768710732001,binance,True
PROMPTUSDT,0.06444,0.06453571,0.06466300,5e-05,0.0001,1768723200000,1768710732001,binance,True
SOMIUSDT,0.22808024,0.22842755,0.22862570,-3.6e-06,0.0001,1768723200000,1768710732001,binance,True
HEMIUSDT,0.01653333,0.01653265,0.01651651,5e-05,0.0001,1768723200000,1768710732001,binance,True
AVNTUSDT,0.2893,0.29043593,0.29103406,-0.00130616,0.0001,1768723200000,1768710732001,binance,True
