symbol,nextFundingRate,oraclePrice,priceChange24H,volume24H,openInterest,source,has_interest_component,interest_rate_per_interval
BCUT-USD,1.25e-05,0.04690073536,0.0,0.0,0.0,dydx,False,0.0
VET-USD,1.25e-05,0.01163325452,-0.00016660605,0.0,12800.0,dydx,False,0.0
YFI-USD,1.25e-05,3632.910126,170.602588,0.0,0.0,dydx,False,0.0
G-USD,1.25e-05,0.00479836646,-2.520153e-05,0.0,2600.0,dydx,False,0.0
MOVE-USD,0.0,0.0372956761,-0.0019909636,0.0,142180.0,dydx,False,0.0
"FARTCOIN,RAYDIUM,9BB6NFECJBCTNNLFKO2FQVQBQ8HHM13KCYYCDQBGPUMP-USD",-4.296875e-08,0.3436182705,-0.0321148223,0.0,23170.0,dydx,False,0.0
QNT-USD,1.25e-05,80.1279811,0.3329718,0.0,6.8,dydx,False,0.0
MOCA-USD,1.25e-05,0.02436512697,0.00157044337,0.0,0.0,dydx,False,0.0
USUAL-USD,0.0,0.029544091,-0.000715618,2399.958,238910.0,dydx,False,0.0
THE-USD,1.25e-05,0.258822353,0.000897066,0.0,0.0,dydx,False,0.0
PEAQ-USD,1.25e-05,0.0333616596,0.0017661383,0.0,20.0,dydx,False,0.0
BABYDOGE-USD,1.25e-05,6.69293777e-10,-1.0489044e-11,0.0,830000000000.0,dydx,False,0.0
GLMR-USD,1.25e-05,0.0262684329,-0.0015332266,0.0,0.0,dydx,False,0.0
SCRT-USD,1.25e-05,0.2287813655,0.0,0.0,0.0,dydx,False,0.0
ZEREBRO-USD,1.25e-05,0.0145656303,-0.0009291003,0.0,0.0,dydx,False,0.0
MORPHO-USD,0.0,1.3157,-0.02589189,41.61,1271.0,dydx,False,0.0
COOKIE-USD,1.25e-05,0.03508947315,-0.00132024921,0.0,0.0,dydx,False,0.0
VIRTUAL-USD,1.25e-05,0.930467385,-0.051833272,0.0,0.0,dydx,False,0.0
"CIG,RAYDIUM,EXRQAUXS967FDKYMNXO4EQZEQIHEUBSTBCXPXXWPUMP-USD",1.25e-05,4.65475918e-05,0.0,0.0,0.0,dydx,False,0.0
AITECH-USD,1.25e-05,0.0108507308,0.00024439078,0.0,0.0,dydx,False,0.0
SAGA-USD,1.25e-05,0.060976706,-0.000894732,0.0,0.0,dydx,False,0.0
TRUMP-USD,0.0,5.27241827,-0.10045913,34083.618,5653.5,dydx,False,0.0
PENGU-USD,0.0,0.011676,-0.00050104549,1946.021,562900.0,dydx,False,0.0
AIXBT-USD,1.25e-05,0.0333033393,-0.0017796441,0.0,75010.0,dydx,False,0.0
AI16Z-USD,1.25e-05,0.055613316,0.0,0.0,0.0,dydx,False,0.0
KOMA-USD,1.25e-05,0.01068998422,-0.000179255,0.0,0.0,dydx,False,0.0
"OCEAN,UNISWAP_V3_BASE,0X1D8148823C46B9C55B678CA84BEB82BC3523ADB1-USD",1.25e-05,1.3849e-06,0.0,0.0,0.0,dydx,False,0.0
ORCA-USD,1.25e-05,1.17186962,0.013542702,0.0,798.0,dydx,False,0.0
NFT-USD,1.25e-05,3.612057494e-07,7.80123e-10,0.0,0.0,dydx,False,0.0
MNRY-USD,1.25e-05,0.00043001399,1.423873e-05,0.0,0.0,dydx,False,0.0
VVV-USD,1.25e-05,2.981177185,-0.013846826,0.0,0.0,dydx,False,0.0
NMR-USD,1.25e-05,10.33993201,-0.02932981,0.0,0.0,dydx,False,0.0
SPX-USD,-1.1578125e-05,0.5508686583,-0.0232836726,7857.051,12510.0,dydx,False,0.0
VINE-USD,1.25e-05,0.02862243,-0.0002377554,0.0,0.0,dydx,False,0.0
BERA-USD,0.0,1.01014695,0.26956169,6680.457,3871.4,dydx,False,0.0
KRL-USD,1.25e-05,0.1897267878,0.0003126245,0.0,0.0,dydx,False,0.0
ME-USD,1.25e-05,0.234679596,0.013954659,0.0,0.0,dydx,False,0.0
LAYER-USD,1.25e-05,0.1598520443,-0.0031153622,0.0,0.0,dydx,False,0.0
B3-USD,1.25e-05,0.000973402919,-1.9995e-06,0.0,0.0,dydx,False,0.0
PAIN-USD,1.25e-05,1.329747e-06,0.0,0.0,0.0,dydx,False,0.0
IP-USD,1.25e-05,2.679300181,-0.053699819,0.0,350.0,dydx,False,0.0
SDM-USD,1.25e-05,0.00051389217,-1.195007e-05,0.0,0.0,dydx,False,0.0
KAITO-USD,-0.00059833984375,0.5216269566,-0.0183523445,32959.738,15060.0,dydx,False,0.0
PI-USD,1.25e-05,0.20360171,-0.0018066674,0.0,28010.0,dydx,False,0.0
KDA-USD,1.25e-05,0.0373887833,0.0,0.0,10000.0,dydx,False,0.0
SSV-USD,1.25e-05,4.09997501,-0.12075876,0.0,0.0,dydx,False,0.0
HYPE-USD,1.62734375e-05,25.50539892,0.66435124,100135.025,3764.8,dydx,False,0.0
S-USD,0.0,0.0798800301,-0.0020693792,0.0,14710.0,dydx,False,0.0
REZ-USD,1.25e-05,0.00518920271,-0.00011820506,0.0,43200.0,dydx,False,0.0
BTRUMP-USD,1.25e-05,1.09441211e-06,0.0,0.0,0.0,dydx,False,0.0
BANANA-USD,1.25e-05,7.26559688,0.02132094,0.0,302.2,dydx,False,0.0
ELX-USD,1.25e-05,0.0032877298,0.0,0.0,0.0,dydx,False,0.0
GNO-USD,1.25e-05,146.6306738,1.0196941,0.0,12.02,dydx,False,0.0
MAJOR-USD,1.25e-05,0.1225921383,-0.0031694646,0.0,0.0,dydx,False,0.0
API3-USD,1.25e-05,0.4355148655,-0.0073908533,0.0,1000.0,dydx,False,0.0
ZETA-USD,1.25e-05,0.0817508799,0.0007674959,0.0,3000.0,dydx,False,0.0
NIL-USD,1.25e-05,0.0751741712,0.0008914276,0.0,3560.0,dydx,False,0.0
MELANIA-USD,1.25e-05,0.166879936,-0.0023892832,158.688,480.0,dydx,False,0.0
NC-USD,1.25e-05,0.0018394221,-6.02426e-06,0.0,0.0,dydx,False,0.0
BADGER-USD,1.25e-05,0.58,0.0,0.0,0.0,dydx,False,0.0
GAS-USD,1.25e-05,2.089452829,-0.023478369,0.0,0.0,dydx,False,0.0
FORTH-USD,1.25e-05,1.838124232,0.044117918,0.0,0.0,dydx,False,0.0
TROY-USD,1.25e-05,7.08601638e-05,4.74241e-07,0.0,0.0,dydx,False,0.0
STEEM-USD,1.25e-05,0.0702824295,-0.0012030563,0.0,0.0,dydx,False,0.0
BABY-USD,1.25e-05,0.01868532871,0.00013646193,0.0,0.0,dydx,False,0.0
WCT-USD,1.25e-05,0.0806473772,0.0019595853,0.0,0.0,dydx,False,0.0
AERGO-USD,1.25e-05,0.0623606368,-0.00019997001,0.0,100.0,dydx,False,0.0
VOXEL-USD,1.25e-05,0.0121,0.0002,0.0,0.0,dydx,False,0.0
MAGIC-USD,1.25e-05,0.1030430741,0.0017671273,0.0,0.0,dydx,False,0.0
ALPACA-USD,1.25e-05,0.00488361841,-2.719008e-05,0.0,0.0,dydx,False,0.0
SKITTEN-USD,1.25e-05,0.018995336972,0.0,0.0,0.0,dydx,False,0.0
SIGN-USD,1.25e-05,0.03874298672,-0.0012492487,0.0,0.0,dydx,False,0.0
IOTX-USD,1.25e-05,0.00842247325,0.00022987495,0.0,0.0,dydx,False,0.0
DINNER-USD,1.25e-05,0.00339191642976,0.0,0.0,0.0,dydx,False,0.0
KERNEL-USD,1.25e-05,0.0747681669,-0.0001587486,0.0,0.0,dydx,False,0.0
SOPH-USD,1.25e-05,0.01336165961,-0.00028363175,0.0,0.0,dydx,False,0.0
WSTETH-USD,1.25e-05,4053.012678,30.505109,0.0,0.076,dydx,False,0.0
LPT-USD,1.25e-05,3.2560752,0.01931835,0.0,81.0,dydx,False,0.0
TIBBIR-USD,1.25e-05,1.4820371e-06,0.0,0.0,0.0,dydx,False,0.0
LA-USD,1.25e-05,0.3094992807,-0.0043955434,0.0,0.0,dydx,False,0.0
MASK-USD,1.25e-05,0.67559732,0.00269919,0.0,8.0,dydx,False,0.0
DAKU-USD,1.25e-05,1.5179178e-06,0.0,0.0,0.0,dydx,False,0.0
SYRUP-USD,-1.96875e-06,0.3585010525,-0.0012392745,1139.199,2890.0,dydx,False,0.0
FLR-USD,1.25e-05,0.01089762363,-9.708658e-05,0.0,208500.0,dydx,False,0.0
NEWT-USD,1.25e-05,0.1045686294,0.0015595322,0.0,0.0,dydx,False,0.0
PUMP-USD,9.84375e-07,0.002799712898,-0.000154092598,129464.397,40755000.0,dydx,False,0.0
ES-USD,1.25e-05,0.1482485604,0.0066760322,0.0,0.0,dydx,False,0.0
ACX-USD,1.25e-05,0.0535025435,-0.0007516056,0.0,0.0,dydx,False,0.0
ERA-USD,1.25e-05,0.227169336,0.006972677,388.565,1415.0,dydx,False,0.0
ZORA-USD,-7.8109375e-05,0.03564,-0.00092,3926.503,105600.0,dydx,False,0.0
CRO-USD,0.00014230859375,0.10127083445,3.620484e-05,3847.076,637900.0,dydx,False,0.0
HUMA-USD,1.25e-05,0.02673781154,-0.0009927581,0.0,0.0,dydx,False,0.0
OMNI-USD,1.25e-05,3.699981184,0.0,0.0,0.0,dydx,False,0.0
PROVE-USD,1.25e-05,0.4063834787,-0.0024102434,0.0,0.0,dydx,False,0.0
USELESS-USD,1.25e-05,0.0889,-0.0129,13.806,4350.0,dydx,False,0.0
WLFI-USD,-1.984375e-06,0.1670641179,-0.0018903401,9998.228,89960.0,dydx,False,0.0
SKY-USD,1.25e-05,0.06367073789,-0.00098310626,204.192,104500.0,dydx,False,0.0
TSLAX-USD,1.25e-05,435.6869203,-1.561905,0.0,0.98,dydx,False,0.0
LINEA-USD,1.25e-05,0.00633673265,-0.00011967577,243.004,258300.0,dydx,False,0.0
PROMPT-USD,1.25e-05,0.06447694084,-0.00253619179,0.0,0.0,dydx,False,0.0
HOLO-USD,1.25e-05,0.0762609349,0.0023494368,0.0,0.0,dydx,False,0.0
IOTA-USD,1.25e-05,0.0939765061,-0.0001232825,0.0,20.0,dydx,False,0.0
ASTER-USD,0.0,0.715421146,-0.003789891,12806.118,45969.0,dydx,False,0.0
XPL-USD,0.0,0.1383654089,-0.0038758595,8363.101,104790.0,dydx,False,0.0
AVNT-USD,-4.63359375e-05,0.29073278016,-0.00921930459,1730.099,38000.0,dydx,False,0.0
GOONER-USD,1.25e-05,1.65574e-06,0.0,0.0,0.0,dydx,False,0.0
2Z-USD,0.0,0.1272606707,-0.0094928234,153.688,7940.0,dydx,False,0.0
DODGERSWIN-USD,1.25e-05,0.9995,0.0,0.0,0.0,dydx,False,0.0
MET-USD,-6.1875e-06,0.3320501849,0.0261105159,141522.351,55990.0,dydx,False,0.0
TREE-USD,1.25e-05,0.1076676996,0.0008596111,16.971,30.0,dydx,False,0.0
MON-USD,2.7e-05,0.02201,-0.0004,4901.541,101100.0,dydx,False,0.0
PIPPIN-USD,1.25e-05,0.3184364631,0.003183798,0.0,0.0,dydx,False,0.0
ANIME-USD,1.25e-05,0.007578105492,5.3341618e-05,0.0,0.0,dydx,False,0.0
DASH-USD,1.25e-05,72.37,-9.71208629,0.0,0.0,dydx,False,0.0
