ticker,rate,price,effectiveAtHeight,effectiveAt,fundingTime,fundingRate,markPrice,symbol,source,type,has_interest,interest_per_interval
ETH-USD,0.00002925,3584.341565,62853536,2025-11-11T01:00:00.393Z,2025-11-11 01:00:00.393000+00:00,2.925e-05,3584.341565,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001875,3579.531376,62859215,2025-11-11T02:00:00.074Z,2025-11-11 02:00:00.074000+00:00,1.875e-05,3579.531376,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000022375,3615.976804,62865002,2025-11-11T03:00:00.449Z,2025-11-11 03:00:00.449000+00:00,2.2375e-05,3615.976804,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00002025,3605.810472,62870734,2025-11-11T04:00:00.112Z,2025-11-11 04:00:00.112000+00:00,2.025e-05,3605.810472,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000025625,3573.615276,62876520,2025-11-11T05:00:00.474Z,2025-11-11 05:00:00.474000+00:00,2.5625e-05,3573.615276,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000026125,3548.864581,62882269,2025-11-11T06:00:00.570Z,2025-11-11 06:00:00.570000+00:00,2.6125e-05,3548.864581,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001775,3556.968606,62888093,2025-11-11T07:00:00.122Z,2025-11-11 07:00:00.122000+00:00,1.775e-05,3556.968606,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000015625,3544.901802,62893837,2025-11-11T08:00:00.279Z,2025-11-11 08:00:00.279000+00:00,1.5625e-05,3544.901802,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001975,3563.262866,62899585,2025-11-11T09:00:00.663Z,2025-11-11 09:00:00.663000+00:00,1.975e-05,3563.262866,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000010125,3554.87,62905291,2025-11-11T10:00:00.223Z,2025-11-11 10:00:00.223000+00:00,1.0125e-05,3554.87,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000016875,3560.083991,62910983,2025-11-11T11:00:00.331Z,2025-11-11 11:00:00.331000+00:00,1.6875e-05,3560.083991,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001425,3573.906788,62916631,2025-11-11T12:00:00.027Z,2025-11-11 12:00:00.027000+00:00,1.425e-05,3573.906788,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00000575,3539.406568,62922431,2025-11-11T13:00:00.497Z,2025-11-11 13:00:00.497000+00:00,5.75e-06,3539.406568,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001925,3532.03,62928183,2025-11-11T14:00:00.019Z,2025-11-11 14:00:00.019000+00:00,1.925e-05,3532.03,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000011,3529.41,62933979,2025-11-11T15:00:00.378Z,2025-11-11 15:00:00.378000+00:00,1.1e-05,3529.41,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000013125,3482.956369,62939695,2025-11-11T16:00:00.049Z,2025-11-11 16:00:00.049000+00:00,1.3125e-05,3482.956369,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000011375,3485.029999,62945413,2025-11-11T17:00:00.407Z,2025-11-11 17:00:00.407000+00:00,1.1375e-05,3485.029999,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00000725,3472.612778,62951070,2025-11-11T18:00:00.573Z,2025-11-11 18:00:00.573000+00:00,7.25e-06,3472.612778,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000005625,3469.395396,62956797,2025-11-11T19:00:00.264Z,2025-11-11 19:00:00.264000+00:00,5.625e-06,3469.395396,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00000675,3455.914956,62962446,2025-11-11T20:00:00.315Z,2025-11-11 20:00:00.315000+00:00,6.75e-06,3455.914956,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00000775,3435.282738,62968151,2025-11-11T21:00:00.381Z,2025-11-11 21:00:00.381000+00:00,7.75e-06,3435.282738,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000008,3417.509838,62973768,2025-11-11T22:00:00.432Z,2025-11-11 22:00:00.432000+00:00,8e-06,3417.509838,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000006875,3430.043638,62979416,2025-11-11T23:00:00.461Z,2025-11-11 23:00:00.461000+00:00,6.875e-06,3430.043638,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000009375,3416.89,62985047,2025-11-12T00:00:03.365Z,2025-11-12 00:00:03.365000+00:00,9.375e-06,3416.89,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000011625,3416.774351,62990735,2025-11-12T01:00:00.586Z,2025-11-12 01:00:00.586000+00:00,1.1625e-05,3416.774351,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00001625,3447.687862,62996374,2025-11-12T02:00:00.074Z,2025-11-12 02:00:00.074000+00:00,1.625e-05,3447.687862,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000005,3427.647235,63002102,2025-11-12T03:00:00.329Z,2025-11-12 03:00:00.329000+00:00,5e-06,3427.647235,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000013875,3437.478756,63007832,2025-11-12T04:00:00.010Z,2025-11-12 04:00:00.010000+00:00,1.3875e-05,3437.478756,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.0000085,3444.401119,63013568,2025-11-12T05:00:00.187Z,2025-11-12 05:00:00.187000+00:00,8.5e-06,3444.401119,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000001625,3448.118756,63019309,2025-11-12T06:00:00.381Z,2025-11-12 06:00:00.381000+00:00,1.625e-06,3448.118756,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000008,3438.42018,63025092,2025-11-12T07:00:00.333Z,2025-11-12 07:00:00.333000+00:00,8e-06,3438.42018,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00000925,3428.44,63030866,2025-11-12T08:00:00.440Z,2025-11-12 08:00:00.440000+00:00,9.25e-06,3428.44,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000009,3468.494684,63036582,2025-11-12T09:00:00.265Z,2025-11-12 09:00:00.265000+00:00,9e-06,3468.494684,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.0000095,3483.348334,63042287,2025-11-12T10:00:00.248Z,2025-11-12 10:00:00.248000+00:00,9.5e-06,3483.348334,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00000475,3533.549102,63047974,2025-11-12T11:00:00.100Z,2025-11-12 11:00:00.100000+00:00,4.75e-06,3533.549102,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.0000095,3548.724872,63053655,2025-11-12T12:00:00.424Z,2025-11-12 12:00:00.424000+00:00,9.5e-06,3548.724872,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.00000875,3553.055305,63059377,2025-11-12T13:00:00.580Z,2025-11-12 13:00:00.580000+00:00,8.75e-06,3553.055305,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000010875,3576.877687,63064996,2025-11-12T14:00:00.461Z,2025-11-12 14:00:00.461000+00:00,1.0875e-05,3576.877687,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000007375,3502.31,63070746,2025-11-12T15:00:00.098Z,2025-11-12 15:00:00.098000+00:00,-7.375e-06,3502.31,ETH-USD,dydx,DEX,False,0.0
ETH-USD,0.000006375,3428.79,63076304,2025-11-12T16:00:00.228Z,2025-11-12 16:00:00.228000+00:00,6.375e-06,3428.79,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000003625,3398.745518,63081940,2025-11-12T17:00:00.639Z,2025-11-12 17:00:00.639000+00:00,-3.625e-06,3398.745518,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00002075,3430.153015,63087556,2025-11-12T18:00:00.336Z,2025-11-12 18:00:00.336000+00:00,-2.075e-05,3430.153015,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00001175,3425.390378,63093207,2025-11-12T19:00:00.468Z,2025-11-12 19:00:00.468000+00:00,-1.175e-05,3425.390378,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00000825,3407.519248,63098853,2025-11-12T20:00:00.508Z,2025-11-12 20:00:00.508000+00:00,-8.25e-06,3407.519248,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00001025,3416.058394,63104550,2025-11-12T21:00:00.182Z,2025-11-12 21:00:00.182000+00:00,-1.025e-05,3416.058394,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000010875,3423.78,63110160,2025-11-12T22:00:00.047Z,2025-11-12 22:00:00.047000+00:00,-1.0875e-05,3423.78,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000005875,3420.88,63115832,2025-11-12T23:00:00.435Z,2025-11-12 23:00:00.435000+00:00,-5.875e-06,3420.88,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.00000375,3413.77,63121451,2025-11-13T00:00:00.625Z,2025-11-13 00:00:00.625000+00:00,-3.75e-06,3413.77,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000001875,3411.57,63127117,2025-11-13T01:00:00.345Z,2025-11-13 01:00:00.345000+00:00,-1.875e-06,3411.57,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000003375,3423.497646,63132776,2025-11-13T02:00:00.431Z,2025-11-13 02:00:00.431000+00:00,-3.375e-06,3423.497646,ETH-USD,dydx,DEX,False,0.0
ETH-USD,-0.000001625,3433.21267,63138424,2025-11-13T03:00:00.130Z,2025-11-13 03:00:00.130000+00:00,-1.625e-06,3433.21267,ETH-USD,dydx,DEX,False,0.0
